différence,difference,-,-,f, ,
difficulté,difficulty,-,-,f,*,
direction,direction,-,-,f, ,
discours ,speech,-,-,m,,
discussion,discussion,-,-,f,,
disjoncteur,circuit breaker,-,-,m,,
distance,distance,-,-,f, ,
doigt,finger,-,-,m, ,
dommage,(what-a)shame,-,-,m, ,
drapeau,flag,drapeaux,flags,m,,
droit,"right(entitlement),law",-,-,m ,,
droite,right-hand-side,-,-,f,,
eau,water,-,-,f,p*,
écartement ,spread(distance),-,-,m,,
échappatoire,loophole,-,-,f,,
écharpe,scarf,-,-,f,,
échéance,expiry/due date,-,-,f,,
échelle,ladder,-,-,f,,
école,school,-,-,f,,
église,church,-,-,f,,
électricité,electricity,-,-,f,p,
endroit,place/spot,-,-,m,,
énergie,energy,-,-,f,p,
enfant,child,-,-,m,,
entrée,entrance,-,-,f,,
entreprise,business,-,-,f,,
entretien,"upkeep,interview",-,-,m,,
épaule,shoulder,-,-,f,,
épinard,spinach,-,-,m,,
équipe,team,-,-,f,,
erreur,error,-,-,f,*,
escalade,climbing,-,-,f,p,
escalier,staircase,-,-,m,,
espèce ,type/sort/kind,-,-,f,,
essence,petrol,-,-,f,p,
événement ,event,-,-,m,,
évier,sink,-,-,m,,
exemplaire,copy/sample,-,-,m,,
explication,explanation,-,-,f,,
expression,expression,-,-,f,*,
façon,manner/fashion,-,-,f,,
facture,bill,-,-,f,,
faim,hunger,-,-,f,p,
fainéantise ,laziness,-,-,f,,
famille,family,-,-,f,,
farine,flour,-,-,f,p,
faute,mistake,-,-,f,*,
fenêtre,window,-,-,f,,
fête,party,-,-,f,,
feu,"fire,traffic light",feux,"fires,traffic lights",m,p,
feuille,sheet-of-paper,-,-,f,,
fierté,pride,-,-,f,,
film,film,-,-,m,,
fin,end,-,-,f,,
flèche,arrow,-,-,f,,
flemme,laziness,-,-,f,p,
fleur,flower,-,-,f,*,
flotte,water(slang),-,-,f,,
flute,flute,-,-,f,,
foire,fair,-,-,f,,
fois,time(repetition),fois,time(repetition),f,,
folie,madness,-,-,f,p,
fond,bottom,-,-,m,,
force,force,-,-,f,p,
forêt,forest,-,-,f,,
format,format,-,-,m,,
formation,"education,training",-,-,f,*,
formulaire,form,-,-,m,,
