rassasié,-,well-fed,-,-,-,-,-,
régulier,-,regular,régulière,-,-,régulièrement,regularly,
réservé,-,reserved,-,-,-,réservément,reservedly,
rigolo,-,"amusing,comical",rigolote,-,-,-,-,
rond,-,round,-,-,-,rondement,promptly,
sec,-,dry,sèche,-,-,sèchement,dryly,
seul ,"alone,single",lonely,-,-,-,seulement,only,
sportif,-,sporty,sportive,-,-,sportivement,sportingly,
total,-,total,-,totaux,-,totalement,totally,
usé,-,worn-out,-,-,-,-,-,
vaillant,-,"valiant,bold",-,-,-,vaillamment,valiently,
vide,-,"empty,blank",vide,-,-,-,-,
vieux ,old,-,vieille,-,-,vieillement,agedly,
vif,-,"lively,briskly",vive,-,-,vivement,"forcefully,vigorously",
violent,-,violent,-,-,-,violemment,violently,
VRAI,"true,real",-,-,-,-,vraiment,"truly,really",
